Reference ID,Manufacturer PN,Description,Manufacturer,Quanity, Cost per Unit ,Link
TBD,2796,Adafruit Feather M0 Adalogger,Adafruit,1,$19.95 ,https://learn.adafruit.com/adafruit-feather-m0-adalogger
TBD,4650,FeatherWing 128x64 OLED,Adafruit,1,$14.95 ,https://learn.adafruit.com/adafruit-128x64-oled-featherwing
TBD,2884,FeatherWing Proto,Adafruit,1,$4.95 ,https://www.adafruit.com/product/2884
TBD,2830,12-pin and 16-pin Stacking Headers,Adafruit,1,$1.25 ,https://www.adafruit.com/product/2830
TBD,2886,2-pin and 16-pin Female Header Set,Adafruit,1,$0.95 ,https://www.adafruit.com/product/2886
TBD,1540031NC6090,Phototransistors 940nm,Würth Elektronik,2,$0.44 ,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/1540031NC6090/12366941
TBD,BPW85B,PHOTOTRANSISTOR 450 TO 1080 NM,Vishay Semiconductor Opto Division,2,$0.69 ,https://www.digikey.com/en/products/detail/vishay-semiconductor-opto-division/BPW85B/4071265
TBD,IR333-A,EMITTER IR 940NM 100MA RADIAL,Everlight Electronics Co Ltd,1,$0.53 ,https://www.digikey.com/en/products/detail/everlight-electronics-co-ltd/IR333-A/2675571
TBD,XLUR12D,Red 617nm LED Indication,SunLED,1,$0.28 ,https://www.digikey.com/en/products/detail/sunled/XLUR12D/4745846
TBD,TBD,BC337 Transistor NPN,TBD,~3,TBD,TBD
