Reference ID,Manufacturer  or Supplier Part Number,Description,Manufacturer or Supplier,Quanity, Cost per Unit ,Total Cost,Link
U1,5980,Adafruit Feather RP2040 Adalogger,Adafruit,1,$14.95 ,$14.95 ,https://www.adafruit.com/product/5980
U2,4650,FeatherWing 128x64 OLED,Adafruit,1,$14.95 ,$14.95 ,https://learn.adafruit.com/adafruit-128x64-oled-featherwing
U3,MT03-047,Photodiode  950/1650NM SMD,Marktech Optoelectronics,1,$55.36 ,$55.36 ,https://www.digikey.com/en/products/detail/marktech-optoelectronics/MT03-047/9954357
U4,MTMD6891T38,Emmiter IR MULTI-NM 100MA TO-5-8,Marktech Optoelectronics,1,$40.68 ,$40.68 ,https://www.digikey.com/en/products/detail/marktech-optoelectronics/MTMD6891T38/4746379
U5,MTE5115W-WRC,SWIR Emitter 1550NM TO-46 FLAT L,Marktech Optoelectronics,1,$15.32 ,$15.32 ,https://www.digikey.com/en/products/detail/marktech-optoelectronics/MTE5115W-WRC/9955415
U6,HDC3021DEHR,Humidity Temperature Sensor Surface Mount I2C,"	
Texas Instruments",1,$4.54 ,$4.54 ,https://www.digikey.com/en/products/detail/texas-instruments/HDC3021DEHR/17884945
U7,ISM330DHCX,Accelerometer Gyroscope  I2C,ST,2,$9.60 ,$19.20 ,https://www.st.com/en/mems-and-sensors/ism330dhcx.html#overview
S1,2940,12-pin and 16-pin Female Header Set Short,Adafruit,2,$1.50 ,$3.00 ,https://www.adafruit.com/product/2940
S2,3002,12-pin and 16-pin Male Header Set Short,Adafruit,2,$0.50 ,$1.00 ,https://www.adafruit.com/product/3002
NA,3096525-M ,Wire Solder  180 C ,MULTICORE / LOCTITE,As Needed,NA,NA,https://www.amazon.com/gp/product/B00DKF13JY/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
,,Total,,,,$169.00 ,
